Time,min,max,mean
2012-03-13,53.8,56.8,55.26736111111115
2012-03-14,55.8,59.2,57.22868852459016
2012-03-15,55.9,60.6,57.700694444444444
2012-03-16,50.0,59.0,56.01398601398599
2012-03-17,46.4,53.2,49.086619718309876
2012-03-18,45.1,54.0,48.58263888888892
2012-03-19,43.7,59.2,50.17499999999999
2012-03-20,50.7,54.3,51.28181818181818
2012-03-21,50.9,69.3,57.31041666666665
2012-03-22,47.8,59.2,53.56944444444443
2012-03-23,45.1,65.3,52.98951048951052
2012-03-24,45.5,53.6,48.60624999999996
2012-03-25,45.0,57.4,50.409790209790216
2012-03-26,45.3,61.7,52.95174825174826
2012-03-27,52.7,59.4,55.19718309859157
2012-03-28,53.2,64.8,57.84755244755247
2012-03-29,52.2,65.1,56.40428571428574
2012-03-30,55.8,65.8,59.80069444444445
2012-03-31,49.6,60.6,56.225874125874135
2012-04-01,47.3,59.9,52.87412587412588
2012-04-02,47.8,66.9,54.764492753623195
2012-04-03,49.8,65.5,55.62857142857143
2012-04-04,47.5,60.3,52.10285714285716
2012-04-05,44.2,58.8,50.3127659574468
2012-04-06,44.1,63.5,51.824999999999996
2012-04-07,46.2,71.1,55.007857142857155
2012-04-08,46.6,68.9,54.614406779661024
2012-04-09,50.0,61.9,53.529347826086955
2012-04-10,53.2,57.2,55.367153284671524
2012-04-11,52.3,62.6,56.625217391304346
2012-04-12,49.1,64.8,55.236805555555584
2012-04-13,48.4,59.4,52.96422764227641
2012-04-14,47.7,65.3,54.721323529411784
2012-04-15,51.8,64.0,55.44307692307691
2012-04-16,50.9,64.4,55.948591549295706
2012-04-17,53.8,63.3,56.785314685314724
2012-04-18,52.0,66.6,57.662676056338015
2012-04-19,55.8,69.6,60.925874125874074
2012-04-20,56.7,79.9,65.5125
2012-04-21,57.6,83.3,67.34428571428568
2012-04-22,53.8,65.7,58.45174825174824
2012-04-23,55.8,69.8,60.874647887323924
2012-04-24,59.5,71.6,62.85804195804197
2012-04-25,58.3,72.0,62.76408450704226
2012-04-26,52.7,63.5,57.84335664335666
2012-04-27,50.0,69.4,57.79790209790209
2012-04-28,52.9,70.7,60.23916083916086
2012-04-29,53.8,75.0,61.80937499999998
2012-04-30,52.3,71.2,58.221527777777766
2012-05-01,50.2,65.1,55.78541666666665
2012-05-02,48.6,61.7,53.84397163120565
2012-05-03,52.0,67.3,58.07080291970805
2012-05-04,51.1,65.7,57.34814814814815
2012-05-05,50.2,73.4,59.72985074626867
2012-05-06,52.2,80.4,64.25244755244756
2012-05-07,53.4,84.4,65.28943089430895
2012-05-08,52.0,73.6,60.97183098591548
2012-05-09,52.3,69.6,58.41458333333336
2012-05-10,50.2,78.3,60.88611111111109
2012-05-11,52.2,73.4,61.590909090909115
2012-05-12,50.2,69.6,57.297761194029874
2012-05-13,52.3,66.2,57.831250000000004
2012-05-14,55.6,57.6,56.328205128205134
2012-05-15,46.09114244396237,63.81500361532906,54.293559388559714
2012-05-16,46.09114244396237,63.81500361532906,54.293559388559714
2012-05-17,52.0,54.0,52.91304347826087
2012-05-18,50.0,72.9,57.816901408450704
2012-05-19,50.4,74.1,59.39208633093529
2012-05-20,53.2,77.4,60.50972222222222
2012-05-21,52.5,64.6,57.13093525179854
2012-05-22,53.8,65.3,59.12867132867135
2012-05-23,54.1,69.1,60.248936170212765
2012-05-24,52.0,68.2,58.86666666666669
2012-05-25,50.2,66.2,56.6757142857143
2012-05-26,50.7,66.4,56.25076923076927
2012-05-27,52.9,63.1,56.0277777777778
2012-05-28,46.09114244396259,65.8,54.29355938855957
2012-05-29,46.09114244396259,63.81500361532918,54.29355938855957
2012-05-30,46.09114244396259,73.2,54.29355938855957
2012-05-31,52.5,78.6,62.80694444444441
2012-06-01,55.0,78.1,62.703472222222246
2012-06-02,52.3,65.7,57.42167832167833
2012-06-03,51.4,67.5,58.28512396694215
2012-06-04,53.4,61.9,58.07676056338027
2012-06-05,51.4,67.6,58.56293706293706
2012-06-06,51.3,69.8,59.63680555555556
2012-06-07,52.0,68.2,59.15072463768117
2012-06-08,52.3,69.4,59.925000000000004
2012-06-09,51.3,78.1,63.37569444444442
2012-06-10,56.5,88.0,70.12916666666665
2012-06-11,57.4,81.3,67.1310606060606
2012-06-12,46.09114244396237,63.81500361532906,54.293559388559714
2012-06-13,52.5,69.3,61.80121951219513
2012-06-14,54.0,68.7,62.64199999999999
2012-06-15,52.2,81.3,64.02638888888889
2012-06-16,56.3,90.5,69.75972222222224
2012-06-17,56.1,71.2,61.486111111111086
2012-06-18,55.0,56.3,55.632258064516144
2012-06-19,53.2,72.9,62.102083333333326
2012-06-20,55.4,83.5,65.34930555555552
2012-06-21,52.9,63.7,56.63125000000001
2012-06-22,53.6,67.5,59.0826388888889
2012-06-23,53.2,69.3,60.86013986013986
2012-06-24,53.8,68.9,60.90972222222222
2012-06-25,55.4,71.2,62.18263888888888
2012-06-26,55.2,73.2,63.72777777777776
2012-06-27,55.0,76.6,62.881118881118944
2012-06-28,56.1,70.0,60.67291666666665
2012-06-29,56.7,69.3,62.02307692307689
2012-06-30,58.3,72.7,63.98888888888889
2012-07-01,58.5,66.9,61.924305555555584
2012-07-02,55.9,68.7,60.7319444444444
2012-07-03,54.0,72.9,61.58263888888887
2012-07-04,55.4,75.0,61.72013888888888
2012-07-05,54.7,67.5,59.648591549295766
2012-07-06,55.0,70.7,60.74142857142858
2012-07-07,54.0,77.9,62.00555555555555
2012-07-08,54.0,63.0,57.65416666666666
2012-07-09,54.3,65.8,58.16131386861312
2012-07-10,53.4,74.8,60.65763888888888
2012-07-11,54.0,77.2,62.308208955223876
2012-07-12,53.8,73.2,58.805714285714274
2012-07-13,53.6,59.5,56.44791666666665
2012-07-14,54.1,69.3,58.6277777777778
2012-07-15,54.9,68.5,60.16388888888892
2012-07-16,55.6,65.5,59.18194444444446
2012-07-17,57.0,69.4,61.355944055944065
2012-07-18,57.9,70.7,62.102797202797206
2012-07-19,56.1,73.2,63.28873239436617
2012-07-20,58.1,73.9,63.89652777777778
2012-07-21,56.8,81.3,66.05833333333335
2012-07-22,56.3,75.4,63.493750000000006
2012-07-23,56.7,72.7,60.748148148148154
2012-07-24,57.6,71.2,62.68819444444442
2012-07-25,57.0,69.3,61.54722222222227
2012-07-26,56.5,67.8,59.90208333333333
2012-07-27,55.0,67.3,59.58750000000006
2012-07-28,55.8,69.1,60.041666666666664
2012-07-29,55.0,70.0,60.0300699300699
2012-07-30,56.1,76.1,63.72847222222223
2012-07-31,56.3,72.3,62.09097222222223
2012-08-01,55.6,73.8,61.328571428571415
2012-08-02,55.2,73.4,60.66666666666663
2012-08-03,55.4,67.5,58.87708333333333
2012-08-04,54.3,63.5,58.53496503496503
2012-08-05,58.5,69.6,61.879166666666684
2012-08-06,57.7,71.8,63.00277777777775
2012-08-07,56.7,70.7,61.740972222222226
2012-08-08,54.5,76.5,63.28055555555558
2012-08-09,54.9,73.6,62.29583333333332
2012-08-10,55.0,73.4,60.792307692307716
2012-08-11,53.8,73.6,60.71597222222223
2012-08-12,54.0,61.5,55.525396825396854
2012-08-13,56.3,64.4,58.95294117647059
2012-08-14,55.2,68.7,60.41597222222222
2012-08-15,57.7,67.5,61.025694444444476
2012-08-16,58.5,69.1,61.98437499999999
2012-08-17,46.09114244396237,63.81500361532906,54.293559388559714
2012-08-18,46.09114244396237,63.81500361532906,54.293559388559714
2012-08-19,46.09114244396237,63.81500361532906,54.293559388559714
2012-08-20,54.0,65.7,57.71194029850746
2012-08-21,54.5,66.4,58.56363636363638
2012-08-22,54.5,64.2,58.36666666666666
2012-08-23,55.4,67.5,59.73402777777775
2012-08-24,54.7,71.1,60.18881118881114
2012-08-25,54.7,62.8,57.89861111111112
2012-08-26,57.0,68.7,60.99230769230766
2012-08-27,57.6,75.0,63.81111111111108
2012-08-28,56.8,74.3,64.1152777777778
2012-08-29,55.0,80.2,64.99722222222223
2012-08-30,55.8,65.8,59.41666666666669
2012-08-31,56.5,63.5,58.82377622377624
2012-09-01,55.0,67.3,59.07361111111114
2012-09-02,53.2,72.0,60.50769230769236
2012-09-03,53.6,73.4,60.35972222222223
2012-09-04,53.1,66.7,58.053472222222254
2012-09-05,55.0,65.8,58.715972222222234
2012-09-06,55.9,66.7,59.8225352112676
2012-09-07,54.1,68.9,60.15833333333333
2012-09-08,56.3,65.7,59.34236111111108
2012-09-09,54.7,69.4,60.31319444444445
2012-09-10,55.9,71.4,61.676086956521736
2012-09-11,55.4,69.8,60.490277777777756
2012-09-12,56.1,68.5,59.50694444444444
2012-09-13,56.3,57.0,56.625
2012-09-14,55.6,65.1,58.934027777777764
2012-09-15,53.4,65.5,57.6673611111111
2012-09-16,52.7,65.1,57.054166666666646
2012-09-17,54.9,65.5,58.65208333333331
2012-09-18,53.8,66.7,58.4169014084507
2012-09-19,55.6,67.8,59.302097902097906
2012-09-20,53.4,65.3,58.71748251748252
2012-09-21,52.9,71.2,59.66153846153845
2012-09-22,53.6,72.9,60.886718749999986
2012-09-23,51.3,68.5,57.847916666666656
2012-09-24,55.2,67.5,59.03749999999997
2012-09-25,53.2,66.2,57.52657342657342
2012-09-26,53.8,65.1,57.43680555555553
2012-09-27,53.2,69.4,57.90763888888888
2012-09-28,52.3,61.7,56.59097222222222
2012-09-29,54.3,67.3,58.179861111111094
2012-09-30,52.0,81.1,63.99652777777779
2012-10-01,58.6,87.4,69.9541666666667
2012-10-02,62.2,90.5,72.96666666666668
2012-10-03,59.9,75.7,65.03680555555553
2012-10-04,59.2,67.8,61.80486111111117
2012-10-05,59.4,69.6,62.953472222222246
2012-10-06,56.8,70.3,61.76713286713286
2012-10-07,55.8,65.8,59.66319444444444
2012-10-08,55.4,68.0,60.6881944444445
2012-10-09,58.5,69.4,61.97832167832169
2012-10-10,56.8,66.7,59.76176470588234
2012-10-11,56.3,59.2,57.52222222222224
2012-10-12,55.6,63.3,58.71830985915493
2012-10-13,55.0,72.9,60.91319444444444
2012-10-14,57.7,70.2,61.470138888888904
2012-10-15,57.4,74.3,63.202083333333334
2012-10-16,61.2,71.2,64.81944444444441
2012-10-17,57.7,79.2,66.20070921985814
2012-10-18,59.9,83.5,69.19166666666669
2012-10-19,57.9,67.6,63.618881118881134
